tweet_id,favorite_count,retweet_count,created_at,Character
1071980941193576449,0,0,Mon Dec 10 04:12:27 +0000 2018,Ross
1071977678377533441,27,0,Mon Dec 10 03:59:29 +0000 2018,Ross
1071970611541491712,0,0,Mon Dec 10 03:31:24 +0000 2018,Ross
1071957015034036224,0,0,Mon Dec 10 02:37:23 +0000 2018,Ross
1071956283710996483,0,0,Mon Dec 10 02:34:28 +0000 2018,Ross
1071942671277658119,0,0,Mon Dec 10 01:40:23 +0000 2018,Ross
1071941589134700544,1,0,Mon Dec 10 01:36:05 +0000 2018,Ross
1071916808725254144,0,0,Sun Dec 09 23:57:37 +0000 2018,Ross
1071916612389928960,2,0,Sun Dec 09 23:56:50 +0000 2018,Ross
1071915606553845761,0,0,Sun Dec 09 23:52:50 +0000 2018,Ross
1071904881248739328,17,0,Sun Dec 09 23:10:13 +0000 2018,Ross
1071898141404880896,0,0,Sun Dec 09 22:43:26 +0000 2018,Ross
1071896306010996737,4,2,Sun Dec 09 22:36:08 +0000 2018,Ross
1071896050988969986,0,0,Sun Dec 09 22:35:08 +0000 2018,Ross
1071877635821711362,5,0,Sun Dec 09 21:21:57 +0000 2018,Ross
1071868134875901952,3,0,Sun Dec 09 20:44:12 +0000 2018,Ross
1071867648395247616,1,0,Sun Dec 09 20:42:16 +0000 2018,Ross
1071860629831589888,6,0,Sun Dec 09 20:14:23 +0000 2018,Ross
1071857184374472712,6,0,Sun Dec 09 20:00:41 +0000 2018,Ross
1071850679466147846,0,0,Sun Dec 09 19:34:50 +0000 2018,Ross
1071819336099205125,1,0,Sun Dec 09 17:30:17 +0000 2018,Ross
1071814845908033538,0,0,Sun Dec 09 17:12:27 +0000 2018,Ross
1071799921458573313,1,0,Sun Dec 09 16:13:09 +0000 2018,Ross
1071791606557233153,0,0,Sun Dec 09 15:40:06 +0000 2018,Ross
1071776814392111104,2,0,Sun Dec 09 14:41:19 +0000 2018,Ross
1071702739510452224,1,1,Sun Dec 09 09:46:59 +0000 2018,Ross
1071690927490654208,3,1,Sun Dec 09 09:00:02 +0000 2018,Ross
1071685319035019265,2,0,Sun Dec 09 08:37:45 +0000 2018,Ross
1071682359320297474,1,0,Sun Dec 09 08:26:00 +0000 2018,Ross
1071670371298865152,0,0,Sun Dec 09 07:38:21 +0000 2018,Ross
1071670309000949760,0,0,Sun Dec 09 07:38:06 +0000 2018,Ross
1071668972876001285,0,0,Sun Dec 09 07:32:48 +0000 2018,Ross
1071667409549877249,0,0,Sun Dec 09 07:26:35 +0000 2018,Ross
1071658966860660736,0,0,Sun Dec 09 06:53:02 +0000 2018,Ross
1071656708651380736,0,0,Sun Dec 09 06:44:04 +0000 2018,Ross
1071653514806349824,0,0,Sun Dec 09 06:31:22 +0000 2018,Ross
1071649594486845441,0,0,Sun Dec 09 06:15:48 +0000 2018,Ross
1071649593253916672,10,1,Sun Dec 09 06:15:47 +0000 2018,Ross
1071639296229171201,11,1,Sun Dec 09 05:34:52 +0000 2018,Ross
